assunto;assunto_pai
5913;DIREITO TRIBUTÁRIO
5916;DIREITO TRIBUTÁRIO
5956;DIREITO TRIBUTÁRIO
5973;DIREITO TRIBUTÁRIO
5978;DIREITO TRIBUTÁRIO
5986;DIREITO TRIBUTÁRIO
6017;DIREITO TRIBUTÁRIO
6018;DIREITO TRIBUTÁRIO
6021;DIREITO TRIBUTÁRIO
6030;DIREITO TRIBUTÁRIO
6031;DIREITO TRIBUTÁRIO
6088;DIREITO TRIBUTÁRIO
6089;DIREITO TRIBUTÁRIO
5914;DIREITO TRIBUTÁRIO
5915;DIREITO TRIBUTÁRIO
10540;DIREITO TRIBUTÁRIO
10527;DIREITO TRIBUTÁRIO
10528;DIREITO TRIBUTÁRIO
10529;DIREITO TRIBUTÁRIO
10530;DIREITO TRIBUTÁRIO
5917;DIREITO TRIBUTÁRIO
5933;DIREITO TRIBUTÁRIO
5941;DIREITO TRIBUTÁRIO
5944;DIREITO TRIBUTÁRIO
5945;DIREITO TRIBUTÁRIO
5946;DIREITO TRIBUTÁRIO
5948;DIREITO TRIBUTÁRIO
5950;DIREITO TRIBUTÁRIO
5951;DIREITO TRIBUTÁRIO
5952;DIREITO TRIBUTÁRIO
5953;DIREITO TRIBUTÁRIO
5954;DIREITO TRIBUTÁRIO
5955;DIREITO TRIBUTÁRIO
10690;DIREITO TRIBUTÁRIO
5918;DIREITO TRIBUTÁRIO
5919;DIREITO TRIBUTÁRIO
5920;DIREITO TRIBUTÁRIO
5921;DIREITO TRIBUTÁRIO
5922;DIREITO TRIBUTÁRIO
5923;DIREITO TRIBUTÁRIO
5924;DIREITO TRIBUTÁRIO
5925;DIREITO TRIBUTÁRIO
5926;DIREITO TRIBUTÁRIO
5927;DIREITO TRIBUTÁRIO
5928;DIREITO TRIBUTÁRIO
5929;DIREITO TRIBUTÁRIO
5930;DIREITO TRIBUTÁRIO
5931;DIREITO TRIBUTÁRIO
5932;DIREITO TRIBUTÁRIO
10532;DIREITO TRIBUTÁRIO
10533;DIREITO TRIBUTÁRIO
10661;DIREITO TRIBUTÁRIO
10689;DIREITO TRIBUTÁRIO
5934;DIREITO TRIBUTÁRIO
5935;DIREITO TRIBUTÁRIO
5936;DIREITO TRIBUTÁRIO
5937;DIREITO TRIBUTÁRIO
5938;DIREITO TRIBUTÁRIO
5939;DIREITO TRIBUTÁRIO
5940;DIREITO TRIBUTÁRIO
5942;DIREITO TRIBUTÁRIO
5943;DIREITO TRIBUTÁRIO
10871;DIREITO TRIBUTÁRIO
10903;DIREITO TRIBUTÁRIO
10947;DIREITO TRIBUTÁRIO
5947;DIREITO TRIBUTÁRIO
10531;DIREITO TRIBUTÁRIO
10872;DIREITO TRIBUTÁRIO
5949;DIREITO TRIBUTÁRIO
5957;DIREITO TRIBUTÁRIO
5971;DIREITO TRIBUTÁRIO
5972;DIREITO TRIBUTÁRIO
5958;DIREITO TRIBUTÁRIO
5959;DIREITO TRIBUTÁRIO
5960;DIREITO TRIBUTÁRIO
5961;DIREITO TRIBUTÁRIO
5962;DIREITO TRIBUTÁRIO
5963;DIREITO TRIBUTÁRIO
5964;DIREITO TRIBUTÁRIO
5965;DIREITO TRIBUTÁRIO
5966;DIREITO TRIBUTÁRIO
5967;DIREITO TRIBUTÁRIO
5968;DIREITO TRIBUTÁRIO
5969;DIREITO TRIBUTÁRIO
5970;DIREITO TRIBUTÁRIO
10534;DIREITO TRIBUTÁRIO
10535;DIREITO TRIBUTÁRIO
10536;DIREITO TRIBUTÁRIO
10537;DIREITO TRIBUTÁRIO
10538;DIREITO TRIBUTÁRIO
5974;DIREITO TRIBUTÁRIO
5975;DIREITO TRIBUTÁRIO
5976;DIREITO TRIBUTÁRIO
5977;DIREITO TRIBUTÁRIO
5979;DIREITO TRIBUTÁRIO
5982;DIREITO TRIBUTÁRIO
5983;DIREITO TRIBUTÁRIO
5984;DIREITO TRIBUTÁRIO
5985;DIREITO TRIBUTÁRIO
10539;DIREITO TRIBUTÁRIO
5980;DIREITO TRIBUTÁRIO
5981;DIREITO TRIBUTÁRIO
5987;DIREITO TRIBUTÁRIO
5990;DIREITO TRIBUTÁRIO
5996;DIREITO TRIBUTÁRIO
5997;DIREITO TRIBUTÁRIO
5998;DIREITO TRIBUTÁRIO
5999;DIREITO TRIBUTÁRIO
6003;DIREITO TRIBUTÁRIO
6004;DIREITO TRIBUTÁRIO
6005;DIREITO TRIBUTÁRIO
6006;DIREITO TRIBUTÁRIO
6007;DIREITO TRIBUTÁRIO
6008;DIREITO TRIBUTÁRIO
6009;DIREITO TRIBUTÁRIO
6010;DIREITO TRIBUTÁRIO
6011;DIREITO TRIBUTÁRIO
6012;DIREITO TRIBUTÁRIO
6016;DIREITO TRIBUTÁRIO
5988;DIREITO TRIBUTÁRIO
5989;DIREITO TRIBUTÁRIO
10543;DIREITO TRIBUTÁRIO
5991;DIREITO TRIBUTÁRIO
5992;DIREITO TRIBUTÁRIO
